ts,cs,lat,long,o,v,a,hr,pl,mp,sl,x,y
2024-10-23 15:52:54,52.0,37.350088219999996,-121.93596932,54.098,1.6780000000000002,0.146,0.0,5.0729999999999995,7.683,1.117,9554505.856999999,1746669.4510000001
2024-10-23 15:52:55,52.0,37.35008294,-121.93598601,55.727,1.627,-0.039,0.0,5.339,6.7700000000000005,0.992,9554507.547,1746670.0690000001
2024-10-23 15:52:56,52.0,37.35007634,-121.93599911000001,57.17,1.464,-0.16699999999999998,0.0,5.595000000000001,5.571,1.04,9554509.051,1746670.8280000002
2024-10-23 15:52:57,52.0,37.350069430000005,-121.93599848,58.367,1.0699999999999998,-0.41900000000000004,0.0,5.843999999999999,4.0280000000000005,1.002,9554509.495000001,1746671.605
2024-10-23 15:52:58,52.0,37.35007058,-121.93598245000001,59.879,1.3370000000000002,0.256,0.0,6.090999999999999,7.618,0.9710000000000001,9554508.151,1746671.454
2024-10-23 15:52:59,52.0,37.35007372,-121.93596352,61.613,1.659,0.366,0.0,6.354,7.954000000000001,1.1460000000000001,9554506.436,1746671.075
2024-10-23 15:53:00,52.0,37.35007734,-121.93594402,63.403999999999996,1.7309999999999999,0.06,0.0,6.632,7.753,1.1380000000000001,9554504.638,1746670.64
2024-10-23 15:53:01,52.0,37.35008098,-121.93592385,65.25500000000001,1.7510000000000001,0.025,0.0,6.922,7.391,1.064,9554502.790000001,1746670.2030000002
2024-10-23 15:53:02,52.0,37.35008491,-121.93590603,66.918,1.573,-0.191,0.0,7.1739999999999995,6.338,1.035,9554501.106999999,1746669.736
2024-10-23 15:53:03,52.0,37.35008936,-121.93589052,68.402,1.45,-0.10900000000000001,0.0,7.418000000000001,5.393,0.791,9554499.568,1746669.2140000002
2024-10-23 15:53:04,52.0,37.35008918,-121.93588079000001,69.384,1.0210000000000001,-0.44299999999999995,0.0,7.566,3.5909999999999997,0.36,9554498.813,1746669.2210000001
2024-10-23 15:53:05,52.0,37.350088729999996,-121.9358733,70.136,0.8539999999999999,-0.177,0.0,7.616,3.755,0.161,9554498.254999999,1746669.261
2024-10-23 15:53:06,52.0,37.350090970000004,-121.93586623000002,70.845,0.8560000000000001,0.025,0.0,7.656000000000001,3.632,0.175,9554497.539,1746668.9989999998
2024-10-23 15:53:07,52.0,37.35009318,-121.93585983,71.514,0.805,-0.046,0.0,7.7010000000000005,3.315,0.155,9554496.877,1746668.743
2024-10-23 15:53:08,52.0,37.35009621,-121.93585508000001,72.09700000000001,0.7030000000000001,-0.10300000000000001,0.0,7.739,2.972,0.144,9554496.287,1746668.3960000002
2024-10-23 15:53:09,52.0,37.35010014,-121.93585381,72.61,0.5860000000000001,-0.125,0.0,7.770999999999999,2.5330000000000004,0.11399999999999999,9554495.906,1746667.952
2024-10-23 15:53:10,52.0,37.35010278,-121.93585626,73.07300000000001,0.36,-0.24100000000000002,0.0,7.8,1.45,0.11499999999999999,9554495.911,1746667.656
2024-10-23 15:53:11,52.0,37.35010448,-121.93585817,73.486,0.354,0.021000000000000008,0.0,7.829000000000001,1.4449999999999998,0.096,9554495.938,1746667.4710000001
2024-10-23 15:53:12,52.0,37.350105029999995,-121.93585865,73.689,0.099,-0.277,0.0,7.848999999999999,0.42800000000000005,0.079,9554495.937,1746667.4079999998
2024-10-23 15:53:13,52.0,37.35010514,-121.93585989,73.84,0.132,0.039,0.0,7.867,0.613,0.06000000000000001,9554496.028,1746667.3969999999
2024-10-23 15:53:14,52.0,37.350105840000005,-121.9358627,74.201,0.348,0.227,0.0,7.882,1.732,0.082,9554496.198,1746667.323
2024-10-23 15:53:15,52.0,37.35010389,-121.93586832000001,74.851,0.655,0.322,0.0,7.922,3.3910000000000005,0.233,9554496.781,1746667.55
2024-10-23 15:53:16,52.0,37.35010349,-121.93587102,75.375,0.298,-0.365,0.0,7.976999999999999,1.085,0.22200000000000003,9554497.022,1746667.598
2024-10-23 15:53:17,52.0,37.3501029,-121.93587439999999,75.657,0.19,-0.142,0.0,8.031,0.7889999999999999,0.192,9554497.331,1746667.67
2024-10-23 15:53:18,52.0,37.35010294,-121.93587542999998,75.862,0.175,0.007999999999999998,0.0,8.083,0.754,0.22799999999999998,9554497.407,1746667.6689999998
2024-10-23 15:53:19,52.0,37.35009872,-121.93587758999999,76.39399999999999,0.359,0.21000000000000002,0.0,8.137,1.763,0.195,9554497.878,1746668.145
2024-10-23 15:53:20,52.0,37.350097410000004,-121.93588265999999,76.99199999999999,0.48600000000000004,0.11299999999999999,0.0,8.192,2.576,0.244,9554498.372,1746668.3
2024-10-23 15:53:21,52.0,37.35009677,-121.93588935,77.683,0.686,0.21800000000000003,0.0,8.242,2.892,0.139,9554498.946,1746668.379
2024-10-23 15:53:22,52.0,37.35009607,-121.93589426000001,78.204,0.442,-0.298,0.0,8.269,2.084,0.181,9554499.381000001,1746668.4649999999
2024-10-23 15:53:23,52.0,37.35009412,-121.93590220000002,79.054,0.7969999999999999,0.438,0.0,8.341,4.082,0.24900000000000003,9554500.147,1746668.6940000001
2024-10-23 15:53:24,52.0,37.350093470000004,-121.93590222999998,79.315,0.13199999999999998,-0.747,0.0,8.382,0.674,0.189,9554500.195,1746668.7669999998
2024-10-23 15:53:25,52.0,37.350090720000004,-121.93590366999999,79.697,0.314,0.20600000000000002,0.0,8.443,1.357,0.2,9554500.504999999,1746669.08
2024-10-23 15:53:26,52.0,37.35009004,-121.93590334999999,79.92,0.122,-0.213,0.0,8.488,0.528,0.236,9554500.53,1746669.155
2024-10-23 15:53:27,52.0,37.35008931,-121.93590675,80.375,0.376,0.286,0.0,8.553,1.81,0.28300000000000003,9554500.848000001,1746669.243
2024-10-23 15:53:28,52.0,37.35008665,-121.93591063,80.958,0.477,0.076,0.0,8.619,2.598,0.195,9554501.344,1746669.548
2024-10-23 15:53:29,52.0,37.350083489999996,-121.93591928000001,81.838,0.8859999999999999,0.43099999999999994,0.0,8.659,4.262,0.152,9554502.251,1746669.914
2024-10-23 15:53:30,52.0,37.35007996,-121.93592941,82.864,1.035,0.135,0.0,8.723,5.396,0.362,9554503.301,1746670.325
2024-10-23 15:53:31,52.0,37.35007795,-121.93593519000001,83.439,0.44699999999999995,-0.5650000000000001,0.0,8.796,1.125,0.221,9554503.901,1746670.559
2024-10-23 15:53:32,52.0,37.3500777,-121.9359368,83.584,0.161,-0.33199999999999996,0.0,8.858,0.717,0.321,9554504.046,1746670.5890000002
2024-10-23 15:53:33,52.0,37.35007488,-121.93594125,84.17699999999999,0.44800000000000006,0.318,0.0,8.940000000000001,2.303,0.25,9554504.598000001,1746670.912
2024-10-23 15:53:34,52.0,37.350071760000006,-121.93594863000001,84.979,0.758,0.298,0.0,8.99,4.18,0.196,9554505.401999999,1746671.2739999997
2024-10-23 15:53:35,52.0,37.350065130000004,-121.93595758,86.08500000000001,1.0950000000000002,0.353,0.0,9.049,5.11,0.246,9554506.579,1746672.0329999998
2024-10-23 15:53:36,52.0,37.35006159,-121.93596481,86.91499999999999,0.713,-0.4,0.0,9.103,2.417,0.213,9554507.403,1746672.441
2024-10-23 15:53:37,52.0,37.350058250000004,-121.93597107000001,87.605,0.632,-0.083,0.0,9.157,2.734,0.294,9554508.137,1746672.8239999998
2024-10-23 15:53:38,52.0,37.35005532,-121.93598053999999,88.53299999999999,0.7969999999999999,0.177,0.0,9.26,4.234,0.34500000000000003,9554509.09,1746673.166
2024-10-23 15:53:39,52.0,37.35005121,-121.93598927000001,89.47999999999999,0.8800000000000001,0.091,0.0,9.32,3.8810000000000002,0.22999999999999998,9554510.072,1746673.641
2024-10-23 15:53:40,52.0,37.350048279999996,-121.93599806,90.34299999999999,0.8019999999999999,-0.10500000000000001,0.0,9.395999999999999,3.35,0.426,9554510.973000001,1746673.982
2024-10-23 15:53:41,52.0,37.35004657,-121.93600762000001,91.22999999999999,0.8379999999999999,0.041,0.0,9.486,3.819,0.264,9554511.849000001,1746674.1870000002
2024-10-23 15:53:42,52.0,37.35004393,-121.93601595,92.083,0.834,0.016999999999999998,0.0,9.559999999999999,3.3590000000000004,0.305,9554512.693,1746674.496
2024-10-23 15:53:43,52.0,37.350042020000004,-121.93602128,92.75,0.534,-0.32999999999999996,0.0,9.641,2.228,0.28700000000000003,9554513.249,1746674.7170000002
2024-10-23 15:53:44,52.0,37.35004602,-121.93602667,93.515,0.764,0.229,0.0,9.704,3.742,0.302,9554513.388,1746674.276
2024-10-23 15:53:45,52.0,37.35004751,-121.93603401,94.401,0.807,0.078,0.0,9.778,3.565,0.248,9554513.86,1746674.118
2024-10-23 15:53:46,52.0,37.35004747,-121.93604253000001,95.321,0.857,0.028000000000000004,0.0,9.833,3.939,0.207,9554514.533,1746674.134
2024-10-23 15:53:47,52.0,37.35004549,-121.93605155,96.292,0.905,0.065,0.0,9.888,3.816,0.24700000000000003,9554515.385,1746674.372
2024-10-23 15:53:48,52.0,37.350041759999996,-121.93605917,97.25,0.89,-1.3877787807814458e-18,0.0,9.955,3.793,0.28700000000000003,9554516.251,1746674.802
2024-10-23 15:53:49,52.0,37.35003726,-121.93606471999999,98.144,0.773,-0.141,0.0,10.029,3.351,0.297,9554517.011,1746675.314
2024-10-23 15:53:50,52.0,37.35003175,-121.93606852,99.014,0.73,-0.038,0.0,10.097,3.024,0.22400000000000003,9554517.705,1746675.9379999998
2024-10-23 15:53:51,52.0,37.3500271,-121.93606711,99.735,0.603,-0.143,0.0,10.138000000000002,2.714,0.13799999999999998,9554517.924,1746676.4600000002
2024-10-23 15:53:52,52.0,37.35002458,-121.93606032,100.567,0.778,0.172,0.0,10.18,3.982,0.217,9554517.57,1746676.732
2024-10-23 15:53:53,52.0,37.350027340000004,-121.93604475,102.024,1.478,0.7140000000000001,0.0,10.301,9.732000000000001,0.8370000000000001,9554516.145,1746676.4
2024-10-23 15:53:54,52.0,37.35003658,-121.93602695,103.93499999999999,1.937,0.476,0.0,10.551,9.958,1.032,9554514.084,1746675.3390000002
2024-10-23 15:53:55,52.0,37.35004533,-121.93600697,105.977,2.0789999999999997,0.15,0.0,10.799000000000001,8.847999999999999,1.03,9554511.887,1746674.327
2024-10-23 15:53:56,52.0,37.35005211,-121.93598487,108.099,2.175,0.065,0.0,11.08,11.25,1.116,9554509.66,1746673.534
